                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9687,                 4.5313,                 1.8314,                0.00073,                0.88889,                0.00382,                0.00265,                 1.4501,                 6.3994,                 1.5325,               0.070682,              0.0032576,              0.0032576
                      1,                 1.4827,                 3.0061,                 1.3248,                0.70219,                0.16667,                0.15063,                0.09173,                 1.2867,                 5.4868,                 1.3443,               0.040551,              0.0064604,              0.0064604
                      2,                  1.454,                 2.4994,                 1.2959,                0.06574,                0.55556,                0.08124,                0.04683,                 1.7149,                 6.4675,                  1.667,               0.010289,              0.0095312,              0.0095312
                      3,                 1.4782,                 2.4271,                 1.2961,                0.09558,                0.94444,                0.13268,                 0.0701,                 1.5025,                 8.9557,                  1.477,               0.009406,               0.009406,               0.009406
                      4,                 1.3864,                 2.2101,                 1.2375,                0.06207,                0.55556,                0.16394,                0.10849,                 1.6149,                 6.1332,                 1.6701,               0.009406,               0.009406,               0.009406
                      5,                 1.3662,                 2.1674,                 1.2281,                0.12113,                0.38889,                0.12447,                0.06454,                 1.6141,                  6.456,                 1.5915,               0.009208,               0.009208,               0.009208
                      6,                 1.3136,                 1.9627,                 1.1974,                0.07377,                0.38889,                0.10721,                0.07328,                 1.6055,                 7.4391,                 1.6049,                0.00901,                0.00901,                0.00901
                      7,                 1.3195,                 1.8737,                  1.216,                0.08746,                0.31673,                0.13959,                0.08398,                   1.46,                 5.8407,                 1.4581,               0.008812,               0.008812,               0.008812
                      8,                 1.3073,                 1.7229,                 1.2113,                0.10252,                0.77778,                0.19039,                 0.1282,                 1.3359,                 6.9898,                 1.4147,               0.008614,               0.008614,               0.008614
                      9,                 1.2497,                 1.6295,                 1.1661,                0.15493,                0.88889,                0.18827,                0.12276,                 1.4114,                 6.9753,                 1.4813,               0.008416,               0.008416,               0.008416
                     10,                 1.2226,                 1.4696,                 1.1609,                0.15976,                0.87369,                 0.2463,                0.16957,                 1.2549,                 5.6026,                  1.551,               0.008218,               0.008218,               0.008218
                     11,                 1.2446,                 1.4336,                 1.1861,                0.10953,                0.72222,                0.16033,                0.10976,                 1.3894,                 6.1478,                 1.5612,                0.00802,                0.00802,                0.00802
                     12,                 1.2113,                 1.3534,                 1.1689,                 0.1584,                0.69476,                0.19681,                0.12761,                 1.3613,                 6.2364,                 1.4228,               0.007822,               0.007822,               0.007822
                     13,                 1.1892,                 1.3444,                 1.1436,                0.21424,                0.59863,                0.26195,                0.18417,                 1.2568,                 3.9653,                 1.3431,               0.007624,               0.007624,               0.007624
                     14,                 1.1462,                 1.2934,                 1.1255,                0.10886,                0.77778,                0.20039,                0.13091,                 1.3714,                 7.4552,                 1.4343,               0.007426,               0.007426,               0.007426
                     15,                 1.1924,                 1.2628,                 1.1274,                0.13763,                0.66667,                 0.2426,                0.14544,                 1.4572,                 3.9492,                 1.4898,               0.007228,               0.007228,               0.007228
                     16,                 1.1692,                 1.1894,                 1.1219,                0.14573,                0.84008,                 0.1936,                0.12732,                  1.187,                 4.6692,                  1.272,                0.00703,                0.00703,                0.00703
                     17,                 1.1635,                 1.1708,                 1.1148,                0.16069,                0.94444,                0.19616,                 0.1366,                  1.045,                 4.4062,                 1.2093,               0.006832,               0.006832,               0.006832
                     18,                 1.1171,                 1.1439,                 1.0978,                0.16436,                0.77778,                0.16599,                0.10954,                 1.1619,                 3.8896,                 1.2762,               0.006634,               0.006634,               0.006634
                     19,                 1.1301,                 1.1019,                 1.1051,                0.16828,                0.88889,                0.18087,                0.12396,                 1.2576,                 5.1681,                 1.3019,               0.006436,               0.006436,               0.006436
                     20,                 1.1376,                 1.1189,                 1.1162,                0.18044,                0.88889,                 0.2079,                0.12781,                 1.2258,                 5.0996,                 1.3231,               0.006238,               0.006238,               0.006238
                     21,                 1.1171,                  1.041,                 1.1032,                0.19437,                0.80735,                0.24475,                 0.1714,                 1.1634,                 4.3375,                 1.2634,                0.00604,                0.00604,                0.00604
                     22,                 1.1184,                 1.0583,                 1.1012,                0.20399,                0.66667,                0.20546,                0.15275,                0.99345,                 4.7361,                 1.1853,               0.005842,               0.005842,               0.005842
                     23,                 1.0689,                 1.0479,                 1.0805,                 0.1565,                0.82576,                0.21207,                0.14974,                   1.18,                 4.3375,                  1.326,               0.005644,               0.005644,               0.005644
                     24,                 1.0918,                0.97416,                  1.071,                0.16734,                0.81704,                0.22443,                0.14877,                 1.1996,                 4.4261,                 1.2931,               0.005446,               0.005446,               0.005446
                     25,                 1.0472,                0.97197,                 1.0707,                 0.1434,                0.72222,                0.20827,                0.13452,                 1.0997,                 4.9252,                 1.1886,               0.005248,               0.005248,               0.005248
                     26,                 1.0337,                0.97324,                  1.071,                0.17105,                0.88889,                0.29062,                0.19058,                 1.1939,                 5.3499,                 1.3143,                0.00505,                0.00505,                0.00505
                     27,                 1.0221,                0.98261,                 1.0542,                0.18665,                0.93735,                0.27133,                0.16929,                 1.1685,                 5.3802,                 1.3186,               0.004852,               0.004852,               0.004852
                     28,                0.98904,                 0.9347,                 1.0366,                0.17389,                0.94444,                0.23898,                0.15512,                 1.2633,                 4.4149,                 1.3491,               0.004654,               0.004654,               0.004654
                     29,                 1.0098,                0.87221,                 1.0278,                0.16976,                0.97802,                0.20997,                0.13407,                 1.1819,                 4.2189,                 1.3265,               0.004456,               0.004456,               0.004456
                     30,                  1.023,                0.91236,                 1.0573,                0.18486,                      1,                0.32335,                0.23049,                  1.108,                 3.5714,                 1.3549,               0.004258,               0.004258,               0.004258
                     31,                0.98146,                0.86725,                 1.0322,                 0.1867,                0.93755,                 0.2483,                0.16873,                 1.1925,                  4.402,                   1.44,                0.00406,                0.00406,                0.00406
                     32,                0.95591,                0.84976,                 1.0257,                0.20277,                0.94444,                0.26467,                0.19263,                 1.2112,                 4.5119,                 1.3646,               0.003862,               0.003862,               0.003862
